pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2000,1,22110,Leche pasteurizada,67426.79,Miles de litros,1.78,l,Litros
32,Argentina,2000,1,22110,Leche esterilizada,63608.38,Miles de litros,1.68,l,Litros
32,Argentina,2000,1,22110,Leche chocolatada,2934.2,Miles de litros,0.08,l,Litros
32,Argentina,2000,2,22110,Leche pasteurizada,69800.58,Miles de litros,1.85,l,Litros
32,Argentina,2000,2,22110,Leche esterilizada,43541.87,Miles de litros,1.16,l,Litros
32,Argentina,2000,2,22110,Leche chocolatada,2550.72,Miles de litros,0.07,l,Litros
32,Argentina,2000,3,22110,Leche pasteurizada,81747.5,Miles de litros,2.17,l,Litros
32,Argentina,2000,3,22110,Leche esterilizada,66122.1,Miles de litros,1.76,l,Litros
32,Argentina,2000,3,22110,Leche chocolatada,3337.78,Miles de litros,0.09,l,Litros
32,Argentina,2000,4,22110,Leche pasteurizada,72709.04,Miles de litros,1.94,l,Litros
32,Argentina,2000,4,22110,Leche esterilizada,61553.62,Miles de litros,1.64,l,Litros
32,Argentina,2000,4,22110,Leche chocolatada,2093.54,Miles de litros,0.06,l,Litros
32,Argentina,2000,5,22110,Leche pasteurizada,78689.22,Miles de litros,2.1,l,Litros
32,Argentina,2000,5,22110,Leche esterilizada,58820.95,Miles de litros,1.57,l,Litros
32,Argentina,2000,5,22110,Leche chocolatada,5144.9,Miles de litros,0.14,l,Litros
32,Argentina,2000,6,22110,Leche pasteurizada,78560.42,Miles de litros,2.1,l,Litros
32,Argentina,2000,6,22110,Leche esterilizada,64639.3,Miles de litros,1.73,l,Litros
32,Argentina,2000,6,22110,Leche chocolatada,1224.9,Miles de litros,0.03,l,Litros
32,Argentina,2000,7,22110,Leche pasteurizada,80609.55,Miles de litros,2.17,l,Litros
32,Argentina,2000,7,22110,Leche esterilizada,47127.77,Miles de litros,1.27,l,Litros
32,Argentina,2000,7,22110,Leche chocolatada,275.51,Miles de litros,0.01,l,Litros
32,Argentina,2000,8,22110,Leche pasteurizada,80206.22,Miles de litros,2.16,l,Litros
32,Argentina,2000,8,22110,Leche esterilizada,54504.73,Miles de litros,1.47,l,Litros
32,Argentina,2000,8,22110,Leche chocolatada,3207.86,Miles de litros,0.09,l,Litros
32,Argentina,2000,9,22110,Leche pasteurizada,76312.9,Miles de litros,2.06,l,Litros
32,Argentina,2000,9,22110,Leche esterilizada,49575.18,Miles de litros,1.34,l,Litros
32,Argentina,2000,9,22110,Leche chocolatada,1825.01,Miles de litros,0.05,l,Litros
32,Argentina,2000,10,22110,Leche pasteurizada,76946.64,Miles de litros,2.08,l,Litros
32,Argentina,2000,10,22110,Leche esterilizada,57332.56,Miles de litros,1.55,l,Litros
32,Argentina,2000,10,22110,Leche chocolatada,2015.39,Miles de litros,0.05,l,Litros
32,Argentina,2000,11,22110,Leche pasteurizada,78470.71,Miles de litros,2.13,l,Litros
32,Argentina,2000,11,22110,Leche esterilizada,47968.85,Miles de litros,1.3,l,Litros
32,Argentina,2000,11,22110,Leche chocolatada,2191.68,Miles de litros,0.06,l,Litros
32,Argentina,2000,12,22110,Leche pasteurizada,82183.23,Miles de litros,2.23,l,Litros
32,Argentina,2000,12,22110,Leche esterilizada,86434.05,Miles de litros,2.35,l,Litros
32,Argentina,2000,12,22110,Leche chocolatada,4109.65,Miles de litros,0.11,l,Litros
32,Argentina,2001,1,22110,Leche pasteurizada,72565.34,Miles de litros,1.97,l,Litros
32,Argentina,2001,1,22110,Leche esterilizada,74854.17,Miles de litros,2.03,l,Litros
32,Argentina,2001,1,22110,Leche chocolatada,4228.72,Miles de litros,0.11,l,Litros
32,Argentina,2001,2,22110,Leche pasteurizada,70215.27,Miles de litros,1.91,l,Litros
32,Argentina,2001,2,22110,Leche esterilizada,52688.35,Miles de litros,1.43,l,Litros
32,Argentina,2001,2,22110,Leche chocolatada,3427.81,Miles de litros,0.09,l,Litros
32,Argentina,2001,3,22110,Leche pasteurizada,84241.08,Miles de litros,2.28,l,Litros
32,Argentina,2001,3,22110,Leche esterilizada,57107.56,Miles de litros,1.55,l,Litros
32,Argentina,2001,3,22110,Leche chocolatada,3391.89,Miles de litros,0.09,l,Litros
32,Argentina,2001,4,22110,Leche pasteurizada,72917.53,Miles de litros,1.98,l,Litros
32,Argentina,2001,4,22110,Leche esterilizada,59450.04,Miles de litros,1.61,l,Litros
32,Argentina,2001,4,22110,Leche chocolatada,2164.96,Miles de litros,0.06,l,Litros
32,Argentina,2001,5,22110,Leche pasteurizada,81592.44,Miles de litros,2.21,l,Litros
32,Argentina,2001,5,22110,Leche esterilizada,64328.28,Miles de litros,1.74,l,Litros
32,Argentina,2001,5,22110,Leche chocolatada,4381.46,Miles de litros,0.12,l,Litros
32,Argentina,2001,6,22110,Leche pasteurizada,80228.65,Miles de litros,2.17,l,Litros
32,Argentina,2001,6,22110,Leche esterilizada,63677.61,Miles de litros,1.72,l,Litros
32,Argentina,2001,6,22110,Leche chocolatada,768.32,Miles de litros,0.02,l,Litros
32,Argentina,2001,7,22110,Leche pasteurizada,75390.65,Miles de litros,2.04,l,Litros
32,Argentina,2001,7,22110,Leche esterilizada,44249.28,Miles de litros,1.2,l,Litros
32,Argentina,2001,7,22110,Leche chocolatada,1252.65,Miles de litros,0.03,l,Litros
32,Argentina,2001,8,22110,Leche pasteurizada,76971.9,Miles de litros,2.08,l,Litros
32,Argentina,2001,8,22110,Leche esterilizada,52773.66,Miles de litros,1.43,l,Litros
32,Argentina,2001,8,22110,Leche chocolatada,2356.14,Miles de litros,0.06,l,Litros
32,Argentina,2001,9,22110,Leche pasteurizada,73147.09,Miles de litros,1.97,l,Litros
32,Argentina,2001,9,22110,Leche esterilizada,47494.45,Miles de litros,1.28,l,Litros
32,Argentina,2001,9,22110,Leche chocolatada,2068.14,Miles de litros,0.06,l,Litros
32,Argentina,2001,10,22110,Leche pasteurizada,76537.81,Miles de litros,2.06,l,Litros
32,Argentina,2001,10,22110,Leche esterilizada,57058.08,Miles de litros,1.54,l,Litros
32,Argentina,2001,10,22110,Leche chocolatada,2018.5,Miles de litros,0.05,l,Litros
32,Argentina,2001,11,22110,Leche pasteurizada,77008.61,Miles de litros,2.07,l,Litros
32,Argentina,2001,11,22110,Leche esterilizada,57693.15,Miles de litros,1.55,l,Litros
32,Argentina,2001,11,22110,Leche chocolatada,3413.04,Miles de litros,0.09,l,Litros
32,Argentina,2001,12,22110,Leche pasteurizada,70634.79,Miles de litros,1.9,l,Litros
32,Argentina,2001,12,22110,Leche esterilizada,55102.91,Miles de litros,1.48,l,Litros
32,Argentina,2001,12,22110,Leche chocolatada,2111.92,Miles de litros,0.06,l,Litros
32,Argentina,2002,1,22110,Leche pasteurizada,66267.96,Miles de litros,1.78,l,Litros
32,Argentina,2002,1,22110,Leche esterilizada,74789.54,Miles de litros,2.01,l,Litros
32,Argentina,2002,1,22110,Leche chocolatada,2602.76,Miles de litros,0.07,l,Litros
32,Argentina,2002,2,22110,Leche pasteurizada,69100.75,Miles de litros,1.86,l,Litros
32,Argentina,2002,2,22110,Leche esterilizada,46616.4,Miles de litros,1.25,l,Litros
32,Argentina,2002,2,22110,Leche chocolatada,1337.52,Miles de litros,0.04,l,Litros
32,Argentina,2002,3,22110,Leche pasteurizada,71819.15,Miles de litros,1.93,l,Litros
32,Argentina,2002,3,22110,Leche esterilizada,51539.6,Miles de litros,1.38,l,Litros
32,Argentina,2002,3,22110,Leche chocolatada,1647,Miles de litros,0.04,l,Litros
32,Argentina,2002,4,22110,Leche pasteurizada,63876.62,Miles de litros,1.71,l,Litros
32,Argentina,2002,4,22110,Leche esterilizada,48247.06,Miles de litros,1.29,l,Litros
32,Argentina,2002,4,22110,Leche chocolatada,1458.85,Miles de litros,0.04,l,Litros
32,Argentina,2002,5,22110,Leche pasteurizada,74385.9,Miles de litros,1.99,l,Litros
32,Argentina,2002,5,22110,Leche esterilizada,52301.77,Miles de litros,1.4,l,Litros
32,Argentina,2002,5,22110,Leche chocolatada,2623.65,Miles de litros,0.07,l,Litros
32,Argentina,2002,6,22110,Leche pasteurizada,74443.67,Miles de litros,1.99,l,Litros
32,Argentina,2002,6,22110,Leche esterilizada,35465.69,Miles de litros,0.95,l,Litros
32,Argentina,2002,6,22110,Leche chocolatada,575.51,Miles de litros,0.02,l,Litros
32,Argentina,2002,7,22110,Leche pasteurizada,78413.88,Miles de litros,2.1,l,Litros
