pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2000,1,22211,Leche en polvo entera ,7405.02,t,Toneladas,0.2,kg,Kilogramos
32,Argentina,2000,1,22212,Leche en polvo descremada,856.93,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,1,22251,Quesos de baja humedad (pasta dura),4466.55,t,Toneladas,0.12,kg,Kilogramos
32,Argentina,2000,1,22251,Quesos de mediana humedad (pasta semidura),12708.75,t,Toneladas,0.34,kg,Kilogramos
32,Argentina,2000,1,22251,Quesos de alta humedad (pasta blanda),18111.97,t,Toneladas,0.48,kg,Kilogramos
32,Argentina,2000,1,22251,Queso fundido,1027.14,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,1,22222,Dulce de leche,6975.51,t,Toneladas,0.18,kg,Kilogramos
32,Argentina,2000,1,22120,Crema,2540.25,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,1,22222,Leche condensada,1226.42,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,1,22241,Manteca,2520.21,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,1,22230,Yogur ,26148.3,t,Toneladas,0.69,kg,Kilogramos
32,Argentina,2000,1,22290,Postres lacteos y flanes,1756,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,2,22211,Leche en polvo entera ,6303.31,t,Toneladas,0.17,kg,Kilogramos
32,Argentina,2000,2,22212,Leche en polvo descremada,3738.8,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2000,2,22251,Quesos de baja humedad (pasta dura),4026.59,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2000,2,22251,Quesos de mediana humedad (pasta semidura),10470.35,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2000,2,22251,Quesos de alta humedad (pasta blanda),16771.95,t,Toneladas,0.45,kg,Kilogramos
32,Argentina,2000,2,22251,Queso fundido,928.2,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,2,22222,Dulce de leche,6229.22,t,Toneladas,0.17,kg,Kilogramos
32,Argentina,2000,2,22120,Crema,2356.88,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,2,22222,Leche condensada,904.91,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,2,22241,Manteca,3280.88,t,Toneladas,0.09,kg,Kilogramos
32,Argentina,2000,2,22230,Yogur ,23084.05,t,Toneladas,0.61,kg,Kilogramos
32,Argentina,2000,2,22290,Postres lacteos y flanes,1641,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2000,3,22211,Leche en polvo entera ,7262.88,t,Toneladas,0.19,kg,Kilogramos
32,Argentina,2000,3,22212,Leche en polvo descremada,244.29,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2000,3,22251,Quesos de baja humedad (pasta dura),5408.68,t,Toneladas,0.14,kg,Kilogramos
32,Argentina,2000,3,22251,Quesos de mediana humedad (pasta semidura),12712.96,t,Toneladas,0.34,kg,Kilogramos
32,Argentina,2000,3,22251,Quesos de alta humedad (pasta blanda),22123.72,t,Toneladas,0.59,kg,Kilogramos
32,Argentina,2000,3,22251,Queso fundido,1074.4,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,3,22222,Dulce de leche,11061.79,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2000,3,22120,Crema,2471.54,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,3,22222,Leche condensada,955.54,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,3,22241,Manteca,3701.97,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2000,3,22230,Yogur ,24568.04,t,Toneladas,0.65,kg,Kilogramos
32,Argentina,2000,3,22290,Postres lacteos y flanes,2246,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,4,22211,Leche en polvo entera ,4967,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2000,4,22212,Leche en polvo descremada,1898.13,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,4,22251,Quesos de baja humedad (pasta dura),4275.71,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2000,4,22251,Quesos de mediana humedad (pasta semidura),9373.37,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2000,4,22251,Quesos de alta humedad (pasta blanda),19714.93,t,Toneladas,0.53,kg,Kilogramos
32,Argentina,2000,4,22251,Queso fundido,1078.65,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,4,22222,Dulce de leche,8666.72,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2000,4,22120,Crema,2185.87,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,4,22222,Leche condensada,767.2,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,4,22241,Manteca,3662.84,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2000,4,22230,Yogur ,14998.01,t,Toneladas,0.4,kg,Kilogramos
32,Argentina,2000,4,22290,Postres lacteos y flanes,1900,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,5,22211,Leche en polvo entera ,9298.43,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2000,5,22212,Leche en polvo descremada,2103.81,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,5,22251,Quesos de baja humedad (pasta dura),4739.83,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2000,5,22251,Quesos de mediana humedad (pasta semidura),8820.63,t,Toneladas,0.24,kg,Kilogramos
32,Argentina,2000,5,22251,Quesos de alta humedad (pasta blanda),18178.61,t,Toneladas,0.49,kg,Kilogramos
32,Argentina,2000,5,22251,Queso fundido,763.25,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,5,22222,Dulce de leche,7692.15,t,Toneladas,0.21,kg,Kilogramos
32,Argentina,2000,5,22120,Crema,2220.42,t,Toneladas,0.06,kg,Kilogramos
